hidden_units,dropout_rate,learning_rate,val_f1,val_auc_roc
64,0.0,0.001,0.6559201688735368,0.708393325091718
64,0.0,0.0005,0.627843873930286,0.706534960852327
64,0.2,0.001,0.6411812297734628,0.7133177302751339
64,0.2,0.0005,0.634386540828888,0.7059261215198178
128,0.0,0.001,0.6359934853420195,0.7105803137414934
128,0.0,0.0005,0.6499308163668709,0.711722617633056
